epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,train_mIoU,val_Dice,val_loss,val_mIoU
,0.001,0,,,,,,
0,,9,,0.7828674912452698,,,,
0,,19,,0.5717257857322693,,,,
0,,29,,0.5925388932228088,,,,
0,,39,,0.47037526965141296,,,,
0,,49,,0.4539400339126587,,,,
0,,59,,0.41831374168395996,,,,
0,,69,,0.577434241771698,,,,
0,,79,,0.4238084554672241,,,,
0,,89,,0.42174863815307617,,,,
0,,99,,0.3973400592803955,,,,
0,,109,,0.38429343700408936,,,,
0,,119,,0.3666904866695404,,,,
0,,129,,0.30758360028266907,,,,
0,,139,,0.3090480864048004,,,,
0,,149,,0.37131965160369873,,,,
0,,159,,0.4918215572834015,,,,
0,,169,,0.46907246112823486,,,,
0,,179,,0.3472864627838135,,,,
0,,189,,0.4722273051738739,,,,
0,,199,,0.5060432553291321,,,,
0,,209,,0.40804922580718994,,,,
0,,219,,0.3941095173358917,,,,
0,,229,,0.4230855703353882,,,,
0,,239,,0.37146878242492676,,,,
0,,245,,,,0.7972438335418701,0.3288465440273285,0.6846981048583984
0,,245,0.44485312700271606,,0.6108983755111694,,,
,0.001,246,,,,,,
1,,249,,0.4278922975063324,,,,
1,,259,,0.37885069847106934,,,,
1,,269,,0.4182802736759186,,,,
1,,279,,0.3526730537414551,,,,
1,,289,,0.40941134095191956,,,,
1,,299,,0.3496112525463104,,,,
1,,309,,0.3009462058544159,,,,
1,,319,,0.37553584575653076,,,,
1,,329,,0.3336676061153412,,,,
1,,339,,0.37069275975227356,,,,
1,,349,,0.41511526703834534,,,,
1,,359,,0.29967713356018066,,,,
1,,369,,0.3713330030441284,,,,
1,,379,,0.5882723927497864,,,,
1,,389,,0.28453001379966736,,,,
1,,399,,0.41698262095451355,,,,
1,,409,,0.3443868160247803,,,,
1,,419,,0.3315044343471527,,,,
1,,429,,0.2795362174510956,,,,
1,,439,,0.29454657435417175,,,,
1,,449,,0.35284730792045593,,,,
1,,459,,0.2944798767566681,,,,
