epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,train_mIoU,val_Dice,val_loss,val_mIoU
,0.001,0,,,,,,
0,,9,,0.49721094965934753,,,,
0,,19,,0.45061010122299194,,,,
0,,29,,0.3631088137626648,,,,
0,,39,,0.3589969873428345,,,,
0,,49,,0.30446940660476685,,,,
0,,59,,0.360959529876709,,,,
0,,69,,0.3959294259548187,,,,
0,,79,,0.3043556809425354,,,,
0,,89,,0.34554582834243774,,,,
0,,99,,0.3304019570350647,,,,
0,,109,,0.28673213720321655,,,,
0,,119,,0.28950822353363037,,,,
0,,129,,0.41517120599746704,,,,
0,,139,,0.32117360830307007,,,,
0,,149,,0.29217278957366943,,,,
0,,159,,0.2579321563243866,,,,
0,,169,,0.25850632786750793,,,,
0,,179,,0.2983059883117676,,,,
0,,183,,,,0.8261840343475342,0.3066138029098511,0.721369743347168
0,,183,0.35097259283065796,,0.6507202386856079,,,
,0.001,184,,,,,,
1,,189,,0.24347743391990662,,,,
1,,199,,0.23509716987609863,,,,
1,,209,,0.32334744930267334,,,,
1,,219,,0.2796633839607239,,,,
1,,229,,0.2644188106060028,,,,
1,,239,,0.3267298936843872,,,,
1,,249,,0.2071530818939209,,,,
1,,259,,0.2346908450126648,,,,
1,,269,,0.4281373620033264,,,,
1,,279,,0.20821711421012878,,,,
1,,289,,0.22983920574188232,,,,
1,,299,,0.2902543246746063,,,,
1,,309,,0.29381170868873596,,,,
1,,319,,0.22701555490493774,,,,
1,,329,,0.22801338136196136,,,,
1,,339,,0.26170313358306885,,,,
1,,349,,0.2524363100528717,,,,
1,,359,,0.2662961184978485,,,,
1,,367,,,,0.8337888717651367,0.2898842692375183,0.7313848733901978
1,,367,0.2659439146518707,,0.7173594236373901,,,
,0.001,368,,,,,,
2,,369,,0.2363843470811844,,,,
2,,379,,0.23848259449005127,,,,
2,,389,,0.2562795877456665,,,,
2,,399,,0.21325618028640747,,,,
2,,409,,0.26616454124450684,,,,
2,,419,,0.19971963763237,,,,
2,,429,,0.21614021062850952,,,,
2,,439,,0.26360243558883667,,,,
2,,449,,0.18403810262680054,,,,
2,,459,,0.2753969132900238,,,,
2,,469,,0.23144222795963287,,,,
2,,479,,0.2690314054489136,,,,
2,,489,,0.18854853510856628,,,,
2,,499,,0.242997407913208,,,,
2,,509,,0.2516564726829529,,,,
2,,519,,0.21953964233398438,,,,
2,,529,,0.2850603759288788,,,,
2,,539,,0.1990414261817932,,,,
2,,549,,0.26592305302619934,,,,
2,,551,,,,0.8364160060882568,0.29085639119148254,0.7356182336807251
2,,551,0.2391141802072525,,0.7379294633865356,,,
,0.001,552,,,,,,
3,,559,,0.2444564551115036,,,,
3,,569,,0.2557685077190399,,,,
3,,579,,0.22900262475013733,,,,
3,,589,,0.18019120395183563,,,,
3,,599,,0.22266173362731934,,,,
3,,609,,0.26364636421203613,,,,
3,,619,,0.251858651638031,,,,
3,,629,,0.2136744260787964,,,,
3,,639,,0.21015772223472595,,,,
3,,649,,0.20747895538806915,,,,
3,,659,,0.25680485367774963,,,,
3,,669,,0.24827328324317932,,,,
3,,679,,0.2524450421333313,,,,
3,,689,,0.18339893221855164,,,,
3,,699,,0.1825147569179535,,,,
3,,709,,0.1777801811695099,,,,
3,,719,,0.2621578574180603,,,,
3,,729,,0.21401798725128174,,,,
3,,735,,,,0.8200596570968628,0.32221001386642456,0.7101573944091797
3,,735,0.22709152102470398,,0.7488824129104614,,,
,0.001,736,,,,,,
4,,739,,0.21801374852657318,,,,
4,,749,,0.1943606287240982,,,,
4,,759,,0.19437038898468018,,,,
4,,769,,0.20035633444786072,,,,
4,,779,,0.24761512875556946,,,,
4,,789,,0.2824086844921112,,,,
4,,799,,0.3048694431781769,,,,
4,,809,,0.2070305049419403,,,,
4,,819,,0.22624747455120087,,,,
4,,829,,0.21020859479904175,,,,
4,,839,,0.22676050662994385,,,,
4,,849,,0.18379467725753784,,,,
4,,859,,0.19978009164333344,,,,
4,,869,,0.2092483937740326,,,,
4,,879,,0.22508300840854645,,,,
4,,889,,0.24722382426261902,,,,
4,,899,,0.2125956416130066,,,,
4,,909,,0.2882015109062195,,,,
4,,919,,0.19696977734565735,,,,
4,,919,,,,0.850868821144104,0.2376251071691513,0.7574673295021057
4,,919,0.2211964875459671,,0.7542827129364014,,,
,0.001,920,,,,,,
5,,929,,0.21565698087215424,,,,
5,,939,,0.19726014137268066,,,,
5,,949,,0.18905097246170044,,,,
5,,959,,0.2328132688999176,,,,
5,,969,,0.2013794481754303,,,,
5,,979,,0.19910059869289398,,,,
5,,989,,0.19611257314682007,,,,
5,,999,,0.18448275327682495,,,,
5,,1009,,0.20626994967460632,,,,
5,,1019,,0.20793309807777405,,,,
5,,1029,,0.230158269405365,,,,
5,,1039,,0.2634279429912567,,,,
5,,1049,,0.184002086520195,,,,
